Service Sectors,Age Group,Year,No. of employed,Gender
Accommodation & Food Services,65 or over,2018,10.1,Male
Information & Communications,65 or over,2018,0.5,Male
Financial & Insurance Services,65 or over,2018,2.0,Male
Real Estate Services,65 or over,2018,2.2,Male
Wholesale & Retail Trade,15 - 19,2017,2.4,Male
Professional And Administrative & Support,15 - 19,2017,10.4,Male
Transportation & Storage,15 - 19,2017,0.6,Male
Accommodation & Food Services,15 - 19,2017,2.6,Male
Information & Communications,15 - 19,2017,0.2,Male
Financial & Insurance Services,15 - 19,2017,0.3,Male
Real Estate Services,15 - 19,2017,0.1,Male
Wholesale & Retail Trade,20 - 24,2017,10.2,Male
Professional And Administrative & Support,20 - 24,2017,10.6,Male
Transportation & Storage,20 - 24,2017,3.2,Male
Accommodation & Food Services,20 - 24,2017,4.6,Male
Information & Communications,20 - 24,2017,2.8,Male
Financial & Insurance Services,20 - 24,2017,5.2,Male
Real Estate Services,20 - 24,2017,1.3,Male
Wholesale & Retail Trade,25 - 29,2017,14.1,Male
Professional And Administrative & Support,25 - 29,2017,16.6,Male
Transportation & Storage,25 - 29,2017,4.6,Male
Accommodation & Food Services,25 - 29,2017,3.5,Male
Information & Communications,25 - 29,2017,5.0,Male
Financial & Insurance Services,25 - 29,2017,15.2,Male
Real Estate Services,25 - 29,2017,2.4,Male
Wholesale & Retail Trade,30 - 34,2017,18.2,Male
Professional And Administrative & Support,30 - 34,2017,22.2,Male
Transportation & Storage,30 - 34,2017,5.0,Male
Accommodation & Food Services,30 - 34,2017,4.3,Male
Information & Communications,30 - 34,2017,5.4,Male
Financial & Insurance Services,30 - 34,2017,16.3,Male
Real Estate Services,30 - 34,2017,3.6,Male
Wholesale & Retail Trade,35 - 39,2017,22.7,Male
Professional And Administrative & Support,35 - 39,2017,26.7,Male
Transportation & Storage,35 - 39,2017,5.9,Male
Accommodation & Food Services,35 - 39,2017,5.5,Male
Information & Communications,35 - 39,2017,6.4,Male
Financial & Insurance Services,35 - 39,2017,16.2,Male
Real Estate Services,35 - 39,2017,4.4,Male
Wholesale & Retail Trade,40 - 44,2017,22.2,Male
Professional And Administrative & Support,40 - 44,2017,26.5,Male
Transportation & Storage,40 - 44,2017,5.4,Male
Accommodation & Food Services,40 - 44,2017,7.1,Male
Information & Communications,40 - 44,2017,5.3,Male
Financial & Insurance Services,40 - 44,2017,14.2,Male
Real Estate Services,40 - 44,2017,3.5,Male
Wholesale & Retail Trade,45 - 49,2017,22.5,Male
Professional And Administrative & Support,45 - 49,2017,26.9,Male
Transportation & Storage,45 - 49,2017,5.2,Male
Accommodation & Food Services,45 - 49,2017,8.6,Male
Information & Communications,45 - 49,2017,3.7,Male
Financial & Insurance Services,45 - 49,2017,12.3,Male
Real Estate Services,45 - 49,2017,3.7,Male
Wholesale & Retail Trade,50 - 54,2017,21.8,Male
Professional And Administrative & Support,50 - 54,2017,28.200000000000003,Male
Transportation & Storage,50 - 54,2017,4.9,Male
Accommodation & Food Services,50 - 54,2017,9.0,Male
Information & Communications,50 - 54,2017,2.6,Male
Financial & Insurance Services,50 - 54,2017,9.0,Male
Real Estate Services,50 - 54,2017,3.6,Male
Wholesale & Retail Trade,55 - 59,2017,16.5,Male
Professional And Administrative & Support,55 - 59,2017,22.3,Male
Transportation & Storage,55 - 59,2017,4.1,Male
Accommodation & Food Services,55 - 59,2017,9.8,Male
Information & Communications,55 - 59,2017,1.8,Male
Financial & Insurance Services,55 - 59,2017,5.2,Male
Real Estate Services,55 - 59,2017,2.5,Male
Wholesale & Retail Trade,60 - 64,2017,12.5,Male
Professional And Administrative & Support,60 - 64,2017,18.5,Male
Transportation & Storage,60 - 64,2017,2.9,Male
Accommodation & Food Services,60 - 64,2017,9.7,Male
Information & Communications,60 - 64,2017,1.1,Male
Financial & Insurance Services,60 - 64,2017,3.0,Male
Real Estate Services,60 - 64,2017,2.9,Male
Wholesale & Retail Trade,65 or over,2017,10.3,Male
Professional And Administrative & Support,65 or over,2017,16.4,Male
Transportation & Storage,65 or over,2017,1.2,Male
Accommodation & Food Services,65 or over,2017,9.1,Male
Information & Communications,65 or over,2017,0.4,Male
Financial & Insurance Services,65 or over,2017,1.8,Male
Real Estate Services,65 or over,2017,1.5,Male
Wholesale & Retail Trade,15 - 19,2016,3.2,Male
Professional And Administrative & Support,15 - 19,2016,11.399999999999999,Male
Transportation & Storage,15 - 19,2016,0.3,Male
Accommodation & Food Services,15 - 19,2016,4.1,Male
Information & Communications,15 - 19,2016,0.3,Male
Financial & Insurance Services,15 - 19,2016,0.5,Male
Real Estate Services,15 - 19,2016,0.1,Male
Wholesale & Retail Trade,20 - 24,2016,11.6,Male
Professional And Administrative & Support,20 - 24,2016,11.9,Male
Transportation & Storage,20 - 24,2016,4.3,Male
Accommodation & Food Services,20 - 24,2016,5.1,Male
Information & Communications,20 - 24,2016,3.3,Male
Financial & Insurance Services,20 - 24,2016,7.3,Male
Real Estate Services,20 - 24,2016,1.1,Male
Wholesale & Retail Trade,25 - 29,2016,14.6,Male
Professional And Administrative & Support,25 - 29,2016,17.1,Male
Transportation & Storage,25 - 29,2016,5.2,Male
Accommodation & Food Services,25 - 29,2016,4.9,Male
Information & Communications,25 - 29,2016,5.9,Male
Financial & Insurance Services,25 - 29,2016,14.3,Male
Real Estate Services,25 - 29,2016,2.5,Male
Wholesale & Retail Trade,30 - 34,2016,18.5,Male
Professional And Administrative & Support,30 - 34,2016,22.5,Male
Transportation & Storage,30 - 34,2016,5.8,Male
Accommodation & Food Services,30 - 34,2016,4.1,Male
Information & Communications,30 - 34,2016,5.7,Male
Financial & Insurance Services,30 - 34,2016,17.5,Male
Real Estate Services,30 - 34,2016,2.7,Male
Wholesale & Retail Trade,35 - 39,2016,21.6,Male
Professional And Administrative & Support,35 - 39,2016,25.6,Male
Transportation & Storage,35 - 39,2016,6.0,Male
Accommodation & Food Services,35 - 39,2016,5.9,Male
Information & Communications,35 - 39,2016,5.5,Male
Financial & Insurance Services,35 - 39,2016,15.2,Male
Real Estate Services,35 - 39,2016,2.7,Male
Wholesale & Retail Trade,40 - 44,2016,24.0,Male
Professional And Administrative & Support,40 - 44,2016,28.4,Male
Transportation & Storage,40 - 44,2016,5.6,Male
Accommodation & Food Services,40 - 44,2016,6.2,Male
Information & Communications,40 - 44,2016,4.8,Male
Financial & Insurance Services,40 - 44,2016,14.4,Male
Real Estate Services,40 - 44,2016,3.8,Male
Wholesale & Retail Trade,45 - 49,2016,25.0,Male
Professional And Administrative & Support,45 - 49,2016,29.7,Male
Transportation & Storage,45 - 49,2016,4.5,Male
Accommodation & Food Services,45 - 49,2016,8.7,Male
Information & Communications,45 - 49,2016,3.4,Male
Financial & Insurance Services,45 - 49,2016,10.9,Male
Real Estate Services,45 - 49,2016,3.0,Male
Wholesale & Retail Trade,50 - 54,2016,21.6,Male
Professional And Administrative & Support,50 - 54,2016,25.8,Male
Transportation & Storage,50 - 54,2016,5.2,Male
Accommodation & Food Services,50 - 54,2016,10.3,Male
Information & Communications,50 - 54,2016,2.9,Male
Financial & Insurance Services,50 - 54,2016,9.8,Male
Real Estate Services,50 - 54,2016,2.9,Male
Wholesale & Retail Trade,55 - 59,2016,18.4,Male
Professional And Administrative & Support,55 - 59,2016,23.099999999999998,Male
Transportation & Storage,55 - 59,2016,4.3,Male
Accommodation & Food Services,55 - 59,2016,10.8,Male
Information & Communications,55 - 59,2016,1.4,Male
Financial & Insurance Services,55 - 59,2016,5.5,Male
Real Estate Services,55 - 59,2016,2.8,Male
Wholesale & Retail Trade,60 - 64,2016,13.2,Male
Professional And Administrative & Support,60 - 64,2016,20.7,Male
Transportation & Storage,60 - 64,2016,2.5,Male
Accommodation & Food Services,60 - 64,2016,9.0,Male
Information & Communications,60 - 64,2016,0.8,Male
Financial & Insurance Services,60 - 64,2016,3.6,Male
Real Estate Services,60 - 64,2016,1.7,Male
Wholesale & Retail Trade,65 or over,2016,8.0,Male
Professional And Administrative & Support,65 or over,2016,14.1,Male
Transportation & Storage,65 or over,2016,1.6,Male
Accommodation & Food Services,65 or over,2016,9.0,Male
Information & Communications,65 or over,2016,0.6,Male
Financial & Insurance Services,65 or over,2016,1.1,Male
Real Estate Services,65 or over,2016,1.6,Male
Wholesale & Retail Trade,15 - 19,2015,3.5,Male
Professional And Administrative & Support,15 - 19,2015,10.6,Male
Transportation & Storage,15 - 19,2015,0.4,Male
Accommodation & Food Services,15 - 19,2015,3.3,Male
Information & Communications,15 - 19,2015,0.6,Male
Financial & Insurance Services,15 - 19,2015,0.6,Male
Wholesale & Retail Trade,20 - 24,2015,10.1,Male
Transportation & Storage,20 - 24,2015,4.0,Male
Professional And Administrative & Support,20 - 24,2015,14.1,Male
Accommodation & Food Services,20 - 24,2015,4.7,Male
Information & Communications,20 - 24,2015,3.7,Male
Financial & Insurance Services,20 - 24,2015,6.5,Male
Real Estate Services,20 - 24,2015,1.3,Male
Wholesale & Retail Trade,25 - 29,2015,14.6,Male
Transportation & Storage,25 - 29,2015,5.0,Male
Professional And Administrative & Support,25 - 29,2015,19.6,Male
Accommodation & Food Services,25 - 29,2015,4.8,Male
Information & Communications,25 - 29,2015,4.6,Male
Financial & Insurance Services,25 - 29,2015,13.1,Male
Real Estate Services,25 - 29,2015,2.7,Male
Wholesale & Retail Trade,30 - 34,2015,19.8,Male
Transportation & Storage,30 - 34,2015,5.7,Male
Professional And Administrative & Support,30 - 34,2015,25.5,Male
Accommodation & Food Services,30 - 34,2015,4.6,Male
Information & Communications,30 - 34,2015,5.4,Male
Financial & Insurance Services,30 - 34,2015,15.1,Male
Real Estate Services,30 - 34,2015,2.5,Male
Wholesale & Retail Trade,35 - 39,2015,25.6,Male
Transportation & Storage,35 - 39,2015,6.0,Male
Professional And Administrative & Support,35 - 39,2015,31.6,Male
Accommodation & Food Services,35 - 39,2015,6.6,Male
Information & Communications,35 - 39,2015,5.6,Male
Financial & Insurance Services,35 - 39,2015,13.6,Male
Real Estate Services,35 - 39,2015,3.4,Male
Wholesale & Retail Trade,40 - 44,2015,24.2,Male
Transportation & Storage,40 - 44,2015,6.3,Male
Professional And Administrative & Support,40 - 44,2015,30.5,Male
Accommodation & Food Services,40 - 44,2015,7.2,Male
Information & Communications,40 - 44,2015,5.4,Male
Financial & Insurance Services,40 - 44,2015,12.8,Male
Real Estate Services,40 - 44,2015,4.2,Male
Wholesale & Retail Trade,45 - 49,2015,23.7,Male
Transportation & Storage,45 - 49,2015,3.9,Male
Professional And Administrative & Support,45 - 49,2015,27.599999999999998,Male
Accommodation & Food Services,45 - 49,2015,8.5,Male
Information & Communications,45 - 49,2015,4.2,Male
Financial & Insurance Services,45 - 49,2015,10.4,Male
Real Estate Services,45 - 49,2015,2.9,Male
Wholesale & Retail Trade,50 - 54,2015,22.1,Male
Transportation & Storage,50 - 54,2015,6.2,Male
Professional And Administrative & Support,50 - 54,2015,28.3,Male
Accommodation & Food Services,50 - 54,2015,10.2,Male
Information & Communications,50 - 54,2015,2.6,Male
Financial & Insurance Services,50 - 54,2015,7.2,Male
Real Estate Services,50 - 54,2015,3.9,Male
Wholesale & Retail Trade,55 - 59,2015,17.1,Male
Transportation & Storage,55 - 59,2015,4.8,Male
Professional And Administrative & Support,55 - 59,2015,21.900000000000002,Male
Accommodation & Food Services,55 - 59,2015,11.3,Male
Information & Communications,55 - 59,2015,1.2,Male
Financial & Insurance Services,55 - 59,2015,5.5,Male
Real Estate Services,55 - 59,2015,2.7,Male
Wholesale & Retail Trade,60 - 64,2015,11.1,Male
Transportation & Storage,60 - 64,2015,2.8,Male
Professional And Administrative & Support,60 - 64,2015,13.899999999999999,Male
Accommodation & Food Services,60 - 64,2015,8.4,Male
Information & Communications,60 - 64,2015,0.7,Male
Financial & Insurance Services,60 - 64,2015,2.4,Male
Real Estate Services,60 - 64,2015,2.6,Male
Wholesale & Retail Trade,65 or over,2015,7.1,Male
Transportation & Storage,65 or over,2015,1.1,Male
Professional And Administrative & Support,65 or over,2015,8.2,Male
Accommodation & Food Services,65 or over,2015,8.6,Male
Information & Communications,65 or over,2015,0.4,Male
Financial & Insurance Services,65 or over,2015,1.5,Male
Real Estate Services,65 or over,2015,1.8,Male
Wholesale & Retail Trade,15 - 19,2014,2.3,Male
Transportation & Storage,15 - 19,2014,0.2,Male
Professional And Administrative & Support,15 - 19,2014,2.5,Male
Accommodation & Food Services,15 - 19,2014,2.7,Male
Information & Communications,15 - 19,2014,0.6,Male
Financial & Insurance Services,15 - 19,2014,0.2,Male
Wholesale & Retail Trade,20 - 24,2014,10.2,Male
Transportation & Storage,20 - 24,2014,3.8,Male
Accommodation & Food Services,20 - 24,2014,5.0,Male
Professional And Administrative & Support,20 - 24,2014,8.8,Male
Information & Communications,20 - 24,2014,3.3,Male
Financial & Insurance Services,20 - 24,2014,5.9,Male
Real Estate Services,20 - 24,2014,0.9,Male
Wholesale & Retail Trade,25 - 29,2014,14.6,Male
Transportation & Storage,25 - 29,2014,5.5,Male
Accommodation & Food Services,25 - 29,2014,4.2,Male
Professional And Administrative & Support,25 - 29,2014,9.7,Male
Information & Communications,25 - 29,2014,5.5,Male
Financial & Insurance Services,25 - 29,2014,11.0,Male
Real Estate Services,25 - 29,2014,2.8,Male
Wholesale & Retail Trade,30 - 34,2014,18.6,Male
Transportation & Storage,30 - 34,2014,6.4,Male
Accommodation & Food Services,30 - 34,2014,4.9,Male
Professional And Administrative & Support,30 - 34,2014,11.3,Male
Information & Communications,30 - 34,2014,6.5,Male
Financial & Insurance Services,30 - 34,2014,15.9,Male
Real Estate Services,30 - 34,2014,3.3,Male
Wholesale & Retail Trade,35 - 39,2014,21.0,Male
Transportation & Storage,35 - 39,2014,5.5,Male
Accommodation & Food Services,35 - 39,2014,5.9,Male
Professional And Administrative & Support,35 - 39,2014,11.4,Male
Information & Communications,35 - 39,2014,5.1,Male
Financial & Insurance Services,35 - 39,2014,13.6,Male
Real Estate Services,35 - 39,2014,3.6,Male
Wholesale & Retail Trade,40 - 44,2014,22.4,Male
Transportation & Storage,40 - 44,2014,5.5,Male
Accommodation & Food Services,40 - 44,2014,7.4,Male
Professional And Administrative & Support,40 - 44,2014,12.9,Male
Information & Communications,40 - 44,2014,5.0,Male
Financial & Insurance Services,40 - 44,2014,12.8,Male
Real Estate Services,40 - 44,2014,4.0,Male
Wholesale & Retail Trade,45 - 49,2014,21.6,Male
Transportation & Storage,45 - 49,2014,5.5,Male
Accommodation & Food Services,45 - 49,2014,8.5,Male
Professional And Administrative & Support,45 - 49,2014,14.0,Male
Information & Communications,45 - 49,2014,2.6,Male
Financial & Insurance Services,45 - 49,2014,9.2,Male
Real Estate Services,45 - 49,2014,3.9,Male
Wholesale & Retail Trade,50 - 54,2014,21.8,Male
Transportation & Storage,50 - 54,2014,5.0,Male
Accommodation & Food Services,50 - 54,2014,12.0,Male
Professional And Administrative & Support,50 - 54,2014,17.0,Male
Information & Communications,50 - 54,2014,3.2,Male
Financial & Insurance Services,50 - 54,2014,8.4,Male
Real Estate Services,50 - 54,2014,3.6,Male
Wholesale & Retail Trade,55 - 59,2014,18.6,Male
Transportation & Storage,55 - 59,2014,4.8,Male
Accommodation & Food Services,55 - 59,2014,10.8,Male
Professional And Administrative & Support,55 - 59,2014,15.600000000000001,Male
Information & Communications,55 - 59,2014,1.9,Male
Financial & Insurance Services,55 - 59,2014,4.5,Male
Real Estate Services,55 - 59,2014,2.8,Male
Wholesale & Retail Trade,60 - 64,2014,10.3,Male
Transportation & Storage,60 - 64,2014,2.4,Male
Accommodation & Food Services,60 - 64,2014,7.6,Male
Professional And Administrative & Support,60 - 64,2014,10.0,Male
Information & Communications,60 - 64,2014,0.5,Male
Financial & Insurance Services,60 - 64,2014,2.6,Male
Real Estate Services,60 - 64,2014,1.7,Male
Wholesale & Retail Trade,65 or over,2014,8.7,Male
Transportation & Storage,65 or over,2014,1.3,Male
Accommodation & Food Services,65 or over,2014,7.4,Male
Professional And Administrative & Support,65 or over,2014,8.700000000000001,Male
Information & Communications,65 or over,2014,0.6,Male
Financial & Insurance Services,65 or over,2014,0.6,Male
Real Estate Services,65 or over,2014,1.3,Male
Wholesale & Retail Trade,15 - 19,2013,2.6,Male
Transportation & Storage,15 - 19,2013,0.3,Male
Accommodation & Food Services,15 - 19,2013,3.2,Male
Professional And Administrative & Support,15 - 19,2013,3.5,Male
Information & Communications,15 - 19,2013,0.3,Male
Financial & Insurance Services,15 - 19,2013,0.3,Male
Wholesale & Retail Trade,20 - 24,2013,10.1,Male
Transportation & Storage,20 - 24,2013,4.5,Male
Accommodation & Food Services,20 - 24,2013,4.4,Male
Information & Communications,20 - 24,2013,3.2,Male
Professional And Administrative & Support,20 - 24,2013,7.6000000000000005,Male
Financial & Insurance Services,20 - 24,2013,5.0,Male
Real Estate Services,20 - 24,2013,1.4,Male
Wholesale & Retail Trade,25 - 29,2013,12.8,Male
Transportation & Storage,25 - 29,2013,6.9,Male
Accommodation & Food Services,25 - 29,2013,4.6,Male
Information & Communications,25 - 29,2013,4.4,Male
Professional And Administrative & Support,25 - 29,2013,9.0,Male
Financial & Insurance Services,25 - 29,2013,12.9,Male
Real Estate Services,25 - 29,2013,1.6,Male
Wholesale & Retail Trade,30 - 34,2013,16.6,Male
Transportation & Storage,30 - 34,2013,7.0,Male
Accommodation & Food Services,30 - 34,2013,4.5,Male
Information & Communications,30 - 34,2013,7.2,Male
Professional And Administrative & Support,30 - 34,2013,11.7,Male
Financial & Insurance Services,30 - 34,2013,14.8,Male
Real Estate Services,30 - 34,2013,2.6,Male
Wholesale & Retail Trade,35 - 39,2013,19.3,Male
Transportation & Storage,35 - 39,2013,6.3,Male
Accommodation & Food Services,35 - 39,2013,5.2,Male
Information & Communications,35 - 39,2013,7.1,Male
Professional And Administrative & Support,35 - 39,2013,12.3,Male
Financial & Insurance Services,35 - 39,2013,11.4,Male
Real Estate Services,35 - 39,2013,3.8,Male
Wholesale & Retail Trade,40 - 44,2013,19.4,Male
Transportation & Storage,40 - 44,2013,6.1,Male
Accommodation & Food Services,40 - 44,2013,7.3,Male
Information & Communications,40 - 44,2013,5.6,Male
Professional And Administrative & Support,40 - 44,2013,12.899999999999999,Male
Financial & Insurance Services,40 - 44,2013,12.3,Male
Real Estate Services,40 - 44,2013,3.5,Male
Wholesale & Retail Trade,45 - 49,2013,20.0,Male
Transportation & Storage,45 - 49,2013,4.9,Male
Accommodation & Food Services,45 - 49,2013,8.1,Male
Information & Communications,45 - 49,2013,2.7,Male
Professional And Administrative & Support,45 - 49,2013,10.8,Male
Financial & Insurance Services,45 - 49,2013,8.0,Male
Real Estate Services,45 - 49,2013,3.3,Male
Wholesale & Retail Trade,50 - 54,2013,18.1,Male
Transportation & Storage,50 - 54,2013,5.5,Male
Accommodation & Food Services,50 - 54,2013,11.1,Male
Information & Communications,50 - 54,2013,3.2,Male
Professional And Administrative & Support,50 - 54,2013,14.3,Male
Financial & Insurance Services,50 - 54,2013,7.4,Male
Real Estate Services,50 - 54,2013,3.1,Male
Wholesale & Retail Trade,55 - 59,2013,13.4,Male
Transportation & Storage,55 - 59,2013,4.0,Male
Accommodation & Food Services,55 - 59,2013,10.8,Male
Information & Communications,55 - 59,2013,2.2,Male
Professional And Administrative & Support,55 - 59,2013,13.0,Male
Financial & Insurance Services,55 - 59,2013,4.5,Male
Real Estate Services,55 - 59,2013,2.7,Male
Wholesale & Retail Trade,60 - 64,2013,8.9,Male
Transportation & Storage,60 - 64,2013,1.7,Male
Accommodation & Food Services,60 - 64,2013,9.0,Male
Information & Communications,60 - 64,2013,0.4,Male
Professional And Administrative & Support,60 - 64,2013,9.4,Male
Financial & Insurance Services,60 - 64,2013,1.8,Male
Real Estate Services,60 - 64,2013,1.3,Male
Wholesale & Retail Trade,65 or over,2013,5.9,Male
Transportation & Storage,65 or over,2013,0.6,Male
Accommodation & Food Services,65 or over,2013,6.9,Male
Information & Communications,65 or over,2013,0.3,Male
Professional And Administrative & Support,65 or over,2013,7.2,Male
Financial & Insurance Services,65 or over,2013,0.8,Male
Real Estate Services,65 or over,2013,1.0,Male
Wholesale & Retail Trade,15 - 19,2012,2.7,Male
Transportation & Storage,15 - 19,2012,0.5,Male
Accommodation & Food Services,15 - 19,2012,2.3,Male
Information & Communications,15 - 19,2012,0.3,Male
Professional And Administrative & Support,15 - 19,2012,2.5999999999999996,Male
Financial & Insurance Services,15 - 19,2012,0.6,Male
Real Estate Services,15 - 19,2012,0.1,Male
Wholesale & Retail Trade,20 - 24,2012,10.6,Male
Transportation & Storage,20 - 24,2012,4.2,Male
Accommodation & Food Services,20 - 24,2012,4.8,Male
Information & Communications,20 - 24,2012,3.3,Male
Professional And Administrative & Support,20 - 24,2012,8.1,Male
Financial & Insurance Services,20 - 24,2012,7.4,Male
Real Estate Services,20 - 24,2012,1.2,Male
Wholesale & Retail Trade,25 - 29,2012,11.3,Male
Transportation & Storage,25 - 29,2012,6.0,Male
Accommodation & Food Services,25 - 29,2012,3.8,Male
Information & Communications,25 - 29,2012,5.0,Male
Professional And Administrative & Support,25 - 29,2012,8.8,Male
Financial & Insurance Services,25 - 29,2012,13.2,Male
Real Estate Services,25 - 29,2012,3.2,Male
Wholesale & Retail Trade,30 - 34,2012,17.7,Male
Transportation & Storage,30 - 34,2012,6.0,Male
Accommodation & Food Services,30 - 34,2012,4.7,Male
Information & Communications,30 - 34,2012,6.3,Male
Professional And Administrative & Support,30 - 34,2012,11.0,Male
Financial & Insurance Services,30 - 34,2012,14.6,Male
Real Estate Services,30 - 34,2012,3.3,Male
Wholesale & Retail Trade,35 - 39,2012,22.0,Male
Transportation & Storage,35 - 39,2012,6.7,Male
Accommodation & Food Services,35 - 39,2012,4.8,Male
Information & Communications,35 - 39,2012,5.6,Male
Professional And Administrative & Support,35 - 39,2012,10.399999999999999,Male
Financial & Insurance Services,35 - 39,2012,12.8,Male
Real Estate Services,35 - 39,2012,4.1,Male
Wholesale & Retail Trade,40 - 44,2012,20.3,Male
Transportation & Storage,40 - 44,2012,6.5,Male
Accommodation & Food Services,40 - 44,2012,7.6,Male
Information & Communications,40 - 44,2012,4.7,Male
Professional And Administrative & Support,40 - 44,2012,12.3,Male
Financial & Insurance Services,40 - 44,2012,10.9,Male
Real Estate Services,40 - 44,2012,4.0,Male
Wholesale & Retail Trade,45 - 49,2012,22.0,Male
Transportation & Storage,45 - 49,2012,6.1,Male
Accommodation & Food Services,45 - 49,2012,9.6,Male
Information & Communications,45 - 49,2012,2.5,Male
Professional And Administrative & Support,45 - 49,2012,12.1,Male
Financial & Insurance Services,45 - 49,2012,8.4,Male
Real Estate Services,45 - 49,2012,2.8,Male
Wholesale & Retail Trade,50 - 54,2012,19.3,Male
Transportation & Storage,50 - 54,2012,5.1,Male
Accommodation & Food Services,50 - 54,2012,11.4,Male
Information & Communications,50 - 54,2012,2.3,Male
Professional And Administrative & Support,50 - 54,2012,13.7,Male
Financial & Insurance Services,50 - 54,2012,6.0,Male
Real Estate Services,50 - 54,2012,3.4,Male
Wholesale & Retail Trade,55 - 59,2012,13.2,Male
Transportation & Storage,55 - 59,2012,3.4,Male
Accommodation & Food Services,55 - 59,2012,9.6,Male
Information & Communications,55 - 59,2012,1.3,Male
Professional And Administrative & Support,55 - 59,2012,10.9,Male
Financial & Insurance Services,55 - 59,2012,3.5,Male
Real Estate Services,55 - 59,2012,1.8,Male
Wholesale & Retail Trade,60 - 64,2012,8.7,Male
Transportation & Storage,60 - 64,2012,2.2,Male
Accommodation & Food Services,60 - 64,2012,7.3,Male
Information & Communications,60 - 64,2012,0.4,Male
Professional And Administrative & Support,60 - 64,2012,7.7,Male
Financial & Insurance Services,60 - 64,2012,1.4,Male
Real Estate Services,60 - 64,2012,0.7,Male
Wholesale & Retail Trade,65 or over,2012,4.7,Male
Transportation & Storage,65 or over,2012,0.6,Male
Accommodation & Food Services,65 or over,2012,5.3,Male
Information & Communications,65 or over,2012,0.3,Male
Professional And Administrative & Support,65 or over,2012,5.6,Male
Financial & Insurance Services,65 or over,2012,0.8,Male
Real Estate Services,65 or over,2012,0.7,Male
Wholesale & Retail Trade,15 - 19,2011,3.5,Male
Transportation & Storage,15 - 19,2011,0.4,Male
Accommodation & Food Services,15 - 19,2011,1.7,Male
Information & Communications,15 - 19,2011,0.3,Male
Professional And Administrative & Support,15 - 19,2011,2.0,Male
Financial & Insurance Services,15 - 19,2011,0.3,Male
Real Estate Services,15 - 19,2011,0.1,Male
Wholesale & Retail Trade,20 - 24,2011,10.7,Male
Transportation & Storage,20 - 24,2011,4.7,Male
Accommodation & Food Services,20 - 24,2011,5.7,Male
Information & Communications,20 - 24,2011,3.2,Male
Professional And Administrative & Support,20 - 24,2011,8.9,Male
Financial & Insurance Services,20 - 24,2011,6.7,Male
Real Estate Services,20 - 24,2011,1.2,Male
Wholesale & Retail Trade,25 - 29,2011,13.3,Male
Transportation & Storage,25 - 29,2011,6.4,Male
Accommodation & Food Services,25 - 29,2011,4.4,Male
Information & Communications,25 - 29,2011,6.1,Male
Professional And Administrative & Support,25 - 29,2011,10.5,Male
Financial & Insurance Services,25 - 29,2011,14.2,Male
Real Estate Services,25 - 29,2011,2.4,Male
Wholesale & Retail Trade,30 - 34,2011,17.5,Male
Transportation & Storage,30 - 34,2011,6.8,Male
Accommodation & Food Services,30 - 34,2011,4.6,Male
Information & Communications,30 - 34,2011,6.9,Male
Professional And Administrative & Support,30 - 34,2011,11.5,Male
Financial & Insurance Services,30 - 34,2011,14.3,Male
Real Estate Services,30 - 34,2011,3.5,Male
Wholesale & Retail Trade,35 - 39,2011,19.7,Male
Transportation & Storage,35 - 39,2011,5.7,Male
Accommodation & Food Services,35 - 39,2011,6.8,Male
Information & Communications,35 - 39,2011,6.4,Male
Professional And Administrative & Support,35 - 39,2011,13.2,Male
Financial & Insurance Services,35 - 39,2011,13.4,Male
Real Estate Services,35 - 39,2011,4.2,Male
Wholesale & Retail Trade,40 - 44,2011,19.3,Male
Transportation & Storage,40 - 44,2011,5.8,Male
Accommodation & Food Services,40 - 44,2011,6.8,Male
Information & Communications,40 - 44,2011,3.8,Male
Professional And Administrative & Support,40 - 44,2011,10.6,Male
Financial & Insurance Services,40 - 44,2011,11.0,Male
Real Estate Services,40 - 44,2011,3.4,Male
Wholesale & Retail Trade,45 - 49,2011,22.6,Male
Transportation & Storage,45 - 49,2011,5.4,Male
Accommodation & Food Services,45 - 49,2011,10.0,Male
Information & Communications,45 - 49,2011,2.9,Male
Professional And Administrative & Support,45 - 49,2011,12.9,Male
Financial & Insurance Services,45 - 49,2011,8.6,Male
Real Estate Services,45 - 49,2011,2.8,Male
Wholesale & Retail Trade,50 - 54,2011,18.0,Male
Transportation & Storage,50 - 54,2011,5.5,Male
Accommodation & Food Services,50 - 54,2011,11.3,Male
Information & Communications,50 - 54,2011,2.2,Male
Professional And Administrative & Support,50 - 54,2011,13.5,Male
Financial & Insurance Services,50 - 54,2011,6.1,Male
Real Estate Services,50 - 54,2011,2.8,Male
Wholesale & Retail Trade,55 - 59,2011,12.7,Male
Transportation & Storage,55 - 59,2011,3.4,Male
Accommodation & Food Services,55 - 59,2011,10.1,Male
Information & Communications,55 - 59,2011,1.6,Male
Professional And Administrative & Support,55 - 59,2011,11.7,Male
Financial & Insurance Services,55 - 59,2011,3.0,Male
Real Estate Services,55 - 59,2011,2.2,Male
Wholesale & Retail Trade,60 - 64,2011,6.9,Male
Transportation & Storage,60 - 64,2011,1.6,Male
Accommodation & Food Services,60 - 64,2011,8.0,Male
Information & Communications,60 - 64,2011,0.3,Male
Professional And Administrative & Support,60 - 64,2011,8.3,Male
Financial & Insurance Services,60 - 64,2011,1.2,Male
Real Estate Services,60 - 64,2011,0.8,Male
Wholesale & Retail Trade,65 or over,2011,4.0,Male
